"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"4956","55","55","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4957","55","56","فِيهِنَّ قَاصِرَاتُ الطَّرْفِ لَمْ يَطْمِثْهُنَّ إِنسٌ قَبْلَهُمْ وَلَا جَانٌّ","اِن نعمتوں کے درمیان شرمیلی نگاہوں والیاں ہوں گی جنہیں اِن جنتیوں سے پہلے کسی انسان یا جن نے چھوا نہ ہوگا","In the midst of these shall be maidens with modest, restrained glances; maidens whom no man or jinn has ever touched before."
"4958","55","57","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of your Lord's favours will you twain – you men and jinn – then deny?"
"4959","55","58","كَأَنَّهُنَّ الْيَاقُوتُ وَالْمَرْجَانُ","ایسی خوبصورت جیسے ہیرے اور موتی","Lovely as rubies and pearls."
"4960","55","59","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4961","55","60","هَلْ جَزَاءُ الْإِحْسَانِ إِلَّا الْإِحْسَانُ","نیکی کا بدلہ نیکی کے سوا اور کیا ہو سکتا ہے","Can the reward of goodness be any other than goodness?"
"4962","55","61","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","پھر اے جن و انس، اپنے رب کے کن کن اوصاف حمیدہ کا تم انکار کرو گے؟","Which of the laudable attributes of your Lord will you twain – you men and jinn – then deny?"
"4963","55","62","وَمِن دُونِهِمَا جَنَّتَانِ","اور اُن دو باغوں کے علاوہ دو باغ اور ہوں گے","And besides these two there shall be two other Gardens."
"4964","55","63","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4965","55","64","مُدْهَامَّتَانِ","گھنے سرسبز و شاداب باغ","Two Gardens, dark green and fresh."
"4966","55","65","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4967","55","66","فِيهِمَا عَيْنَانِ نَضَّاخَتَانِ","دونوں باغوں میں دو چشمے فواروں کی طرح ابلتے ہوئے","In them will be two gushing springs."
"4968","55","67","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4969","55","68","فِيهِمَا فَاكِهَةٌ وَنَخْلٌ وَرُمَّانٌ","اُن میں بکثرت پھل اور کھجوریں اور انار","Therein will be fruits and dates and pomegranates."
"4970","55","69","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4971","55","70","فِيهِنَّ خَيْرَاتٌ حِسَانٌ","اِن نعمتوں کے درمیان خوب سیرت اور خوبصورت بیویاں","In the midst of these will be maidens, good and comely."
"4972","55","71","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4973","55","72","حُورٌ مَّقْصُورَاتٌ فِي الْخِيَامِ","خیموں میں ٹھیرائی ہوئی حوریں","There shall be maidens sheltered in tents."
"4974","55","73","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4975","55","74","لَمْ يَطْمِثْهُنَّ إِنسٌ قَبْلَهُمْ وَلَا جَانٌّ","اِن جنتیوں سے پہلے کبھی انسان یا جن نے اُن کو نہ چھوا ہوگا","No man or jinn ever touched them before."
"4976","55","75","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4977","55","76","مُتَّكِئِينَ عَلَىٰ رَفْرَفٍ خُضْرٍ وَعَبْقَرِيٍّ حِسَانٍ","وہ جنتی سبز قالینوں اور نفیس و نادر فرشوں پر تکیے لگا کے بیٹھیں گے","They shall be reclining on green cushions and splendid carpets."
"4978","55","77","فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ","اپنے رب کے کن کن انعامات کو تم جھٹلاؤ گے؟","Which of the favours of your Lord will you twain – you men and jinn – then deny?"
"4979","55","78","تَبَارَكَ اسْمُ رَبِّكَ ذِي الْجَلَالِ وَالْإِكْرَامِ","بڑی برکت والا ہے تیرے رب جلیل و کریم کا نام","Blessed be the name of your Lord, the Lord of Majesty and Glory."
"4980","56","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ إِذَا وَقَعَتِ الْوَاقِعَةُ","جب وہ ہونے والا واقعہ پیش آ جائے گا","When the Event will come to pass"
"4981","56","2","لَيْسَ لِوَقْعَتِهَا كَاذِبَةٌ","تو کوئی اس کے وقوع کو جھٹلانے والا نہ ہوگا","– and then there will be no one to deny its occurrence –"
"4982","56","3","خَافِضَةٌ رَّافِعَةٌ","وہ تہ و بالا کر دینے والی آفت ہوگی","(a calamitous Event) that shall turn things upside down:"
"4983","56","4","إِذَا رُجَّتِ الْأَرْضُ رَجًّا","زمین اس وقت یکبارگی ہلا ڈالی جائے گی","when the earth will suddenly shake with a terrible shaking,"
"4984","56","5","وَبُسَّتِ الْجِبَالُ بَسًّا","اور پہاڑ اس طرح ریزہ ریزہ کر دیے جائیں گے","and the mountains will crumble"
"4985","56","6","فَكَانَتْ هَبَاءً مُّنبَثًّا","کہ پراگندہ غبار بن کر رہ جائیں گے","and will scatter abroad into fine dust."
"4986","56","7","وَكُنتُمْ أَزْوَاجًا ثَلَاثَةً","تم لوگ اُس وقت تین گروہوں میں تقسیم ہو جاؤ گے","You shall then become three groups."
"4987","56","8","فَأَصْحَابُ الْمَيْمَنَةِ مَا أَصْحَابُ الْمَيْمَنَةِ","دائیں بازو والے، سو دائیں بازو والوں (کی خوش نصیبی) کا کیا کہنا","The People on the Right: and how fortunate will be the People on the Right!"
"4988","56","9","وَأَصْحَابُ الْمَشْأَمَةِ مَا أَصْحَابُ الْمَشْأَمَةِ","اور بائیں بازو والے، تو بائیں بازو والوں (کی بد نصیبی کا) کا کیا ٹھکانا","And the People on the Left: and how miserable will be the People on the Left!"
"4989","56","10","وَالسَّابِقُونَ السَّابِقُونَ","اور آگے والے تو پھر آگے وا لے ہی ہیں","As for the Foremost, they will be the foremost!"
"4990","56","11","أُولَـٰئِكَ الْمُقَرَّبُونَ","وہی تو مقرب لوگ ہیں","They shall be near-stationed (to their Lord),"
"4991","56","12","فِي جَنَّاتِ النَّعِيمِ","نعمت بھری جنتوں میں رہیں گے","in the Gardens of Bliss."
"4992","56","13","ثُلَّةٌ مِّنَ الْأَوَّلِينَ","اگلوں میں سے بہت ہوں گے","A throng of the ancients,"
"4993","56","14","وَقَلِيلٌ مِّنَ الْآخِرِينَ","اور پچھلوں میں سے کم","and a few from later times."
"4994","56","15","عَلَىٰ سُرُرٍ مَّوْضُونَةٍ","مرصع تختوں پر","They (will be seated) on gold-encrusted couches,"
"4995","56","16","مُّتَّكِئِينَ عَلَيْهَا مُتَقَابِلِينَ","تکیے لگا ئے آمنے سامنے بیٹھیں گے","reclining on them, arrayed face to face;"
"4996","56","17","يَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُّخَلَّدُونَ","اُن کی مجلسوں میں ابدی لڑکے شراب چشمہ جاری سے","immortal youths shall go about them"
"4997","56","18","بِأَكْوَابٍ وَأَبَارِيقَ وَكَأْسٍ مِّن مَّعِينٍ","لبریز پیالے کنٹر اور ساغر لیے دوڑتے پھرتے ہونگے","with goblets and ewers and a cup filled with a drink drawn from a running spring,"
"4998","56","19","لَّا يُصَدَّعُونَ عَنْهَا وَلَا يُنزِفُونَ","جسے پی کر نہ اُن کا سر چکرائے گا نہ ان کی عقل میں فتور آئے گا","a drink by which their minds will not be clouded nor will it cause drunkenness;"
"4999","56","20","وَفَاكِهَةٍ مِّمَّا يَتَخَيَّرُونَ","اور وہ اُن کے سامنے طرح طرح کے لذیذ پھل پیش کریں گے جسے چاہیں چن لیں","they will also go about them with the fruits of which they may choose,"
"5000","56","21","وَلَحْمِ طَيْرٍ مِّمَّا يَشْتَهُونَ","اور پرندوں کے گوشت پیش کریں گے کہ جس پرندے کا چاہیں استعمال کریں","and with the flesh of any fowl that they may desire to eat;"
"5001","56","22","وَحُورٌ عِينٌ","اور ان کے لیے خوبصورت آنکھوں والی حوریں ہونگی","and there shall be wide-eyed maidens,"
"5002","56","23","كَأَمْثَالِ اللُّؤْلُؤِ الْمَكْنُونِ","ایسی حسین جیسے چھپا کر رکھے ہوئے موتی","beautiful as pearls hidden in their shells."
"5003","56","24","جَزَاءً بِمَا كَانُوا يَعْمَلُونَ","یہ سب کچھ اُن اعمال کی جزا کے طور پر انہیں ملے گا جو وہ دنیا میں کرتے رہے تھے","All this shall be theirs as a reward for their deeds."
"5004","56","25","لَا يَسْمَعُونَ فِيهَا لَغْوًا وَلَا تَأْثِيمًا","وہاں وہ کوئی بیہودہ کلام یا گناہ کی بات نہ سنیں گے","There they shall hear no idle talk nor any sinful speech."
"5005","56","26","إِلَّا قِيلًا سَلَامًا سَلَامًا","جو بات بھی ہوگی ٹھیک ٹھیک ہوگی","All talk will be sound and upright."
"5006","56","27","وَأَصْحَابُ الْيَمِينِ مَا أَصْحَابُ الْيَمِينِ","اور دائیں بازو والے، دائیں بازو والوں کی خوش نصیبی کا کیا کہنا","As for the People on the Right, how fortunate shall be the people on the Right!"
"5007","56","28","فِي سِدْرٍ مَّخْضُودٍ","وہ بے خار بیریوں","They shall be in the midst of thornless lote trees,"
"5008","56","29","وَطَلْحٍ مَّنضُودٍ","اور تہ بر تہ چڑھے ہوئے کیلوں","and flower-clad acacias,"
"5009","56","30","وَظِلٍّ مَّمْدُودٍ","اور دور تک پھیلی ہوئی چھاؤں","and extended shade,"
"5010","56","31","وَمَاءٍ مَّسْكُوبٍ","اور ہر دم رواں پانی","and gushing water,"
"5011","56","32","وَفَاكِهَةٍ كَثِيرَةٍ","اور کبھی ختم نہ ہونے والے","and abundant fruit,"
"5012","56","33","لَّا مَقْطُوعَةٍ وَلَا مَمْنُوعَةٍ","اور بے روک ٹوک ملنے والے بکثرت پھلوں","never-ending and unforbidden."
"5013","56","34","وَفُرُشٍ مَّرْفُوعَةٍ","اور اونچی نشست گاہوں میں ہوں گے","They shall be on upraised couches,"
"5014","56","35","إِنَّا أَنشَأْنَاهُنَّ إِنشَاءً","ان کی بیویوں کو ہم خاص طور پر نئے سرے سے پیدا کریں گے","and their spouses We shall have brought them into being afresh,"
